Author,Title,Keywords,Year,Type Pulication,DOI
"Rozi, Muhamad Fahru and Sucahyo, Yudho Giri and Gandhi, Arfive and Ruldeviyani, Yova",Appraising Personal Data Protection in Startup Companies in Financial Technology: A Case Study of ABC Corp,"digital economy, personal data, Financial technology, data privacy, data protection",2020,inproceedings,10.1145/3379310.3379322
"Dennis, Louise A.",Conference Reports,empty,2022,article,10.1145/3511322.3511326
"Kumar, Sathish Alampalayam",Designing a Graduate Program in Information Security and Analytics: Masters Program in Information Security and Analytics (MISA),"analytics, cybersecurity, information technology education",2014,inproceedings,10.1145/2656450.2656453
"Baolong, Yang and Hong, Wu and Haodong, Zhang",Research and Application of Data Management Based on Data Management Maturity Model (DMM),"Unstructured data, Measurement and evaluation, maturity model, Data management",2018,inproceedings,10.1145/3195106.3195177
"An, Zhenpeng and Zhang, Di and Liang, Yunjie",Research on Data Governance Framework for Fire Department,empty,2021,inbook,empty
"Hui, Pan and Ou, Zhonghong and Zhang, Yanyong and Striegel, Aaron D",The 7th International Workshop on Hot Topics in Planet-Scale Measurement (HotPlanet '16),"deployment experiences, crowd sensing, social computing, planet-scale measurement, crowdsourcing, cloud computing, data analytics",2016,inproceedings,10.1145/2968219.2985840
"Nabipourshiri, Rouzbeh and Abu-Salih, Bilal and Wongthongtham, Pornpit",Tree-Based Classification to Users' Trustworthiness in OSNs,"Trust, social media, data mining, users' trustworthiness, Twitter, machine learning",2018,inproceedings,10.1145/3192975.3193004
"Lin, Yuting",Government Management Model of Non-Profit Organizations Based on E-Government,"non-profit organization, management model, E-government",2019,inproceedings,10.1145/3348445.3348464
"Grillenberger, Andreas and Romeike, Ralf",A Comparison of the Field Data Management and Its Representation in Secondary CS Curricula,"databases, standards, secondary school, curricula, data management, analysis, characterization",2014,inproceedings,10.1145/2670757.2670779
"Duan, Rong and Xiao, Yanghua",Enterprise Knowledge Graph From Specific Business Task to Enterprise Knowledge Management,"relation extraction, ontology, entity recognition, knowledge graph, enterprise knowledge management",2019,inproceedings,10.1145/3357384.3360314
"Zeleti, Fatemeh Ahmadi and Ojo, Adegboyega",Competitive Capability Framework for Open Government Data Organizations,"open data capabilities, competitive advantage, organizational capabilities, competitive strategies, open data organization, Competitiveness in open data businesses",2017,inproceedings,10.1145/3085228.3085280
"Ren, Kang and Liu, Fan and Zhuang, Haimei and Ling, Yun",AI-Based Multimodal Data Management and Intelligent Analysis System for Parkinson's Disease: GYENNO PD CIS,empty,2020,inbook,empty
"Li, Ting and Zhang, Bo",Development Dilemma and Countermeasures of Data Journalism,"visualization, Data journalism, information cocoons, data opening",2020,inproceedings,10.1145/3433996.3434019
"Best, Daniel M. and Endert, Alex and Kidwell, Daniel",7 Key Challenges for Visualization in Cyber Network Defense,"visualization, cyber security, defense",2014,inproceedings,10.1145/2671491.2671497
"Beskales, George and Das, Gautam and Elmagarmid, Ahmed K. and Ilyas, Ihab F. and Naumann, Felix and Ouzzani, Mourad and Papotti, Paolo and Quiane-Ruiz, Jorge and Tang, Nan",The Data Analytics Group at the Qatar Computing Research Institute,empty,2013,article,10.1145/2430456.2430466
"Liu, Shuhua Monica and Pan, Liting and Lei, Yupei",What is the Role of New Generation of ICTs in Transforming Government Operation and Redefining State-Citizen Relationship in the Last Decade?,"E-governance, Transformative governance, Information and communication technology (ICT)",2019,inproceedings,10.1145/3326365.3326374
"Elmegreen, Bruce G. and Sanchez, Susan M. and Szalay, Alexander S.",The Future of Computerized Decision Making,empty,2014,inproceedings,empty
"Wang, Deqiang and Guo, Danhuai and Zhang, Hui",Spatial Temporal Data Visualization In Emergency Management: A View from Data-Driven Decision,"emergency management, review, spatio-temporal visualization",2017,inproceedings,10.1145/3152465.3152473
"Barata, Andre Montoia and Prado, Edmir Parada Vasques",Data Governance in Brazilian Organizations,"Data Governance, System Information, Management Frameworks",2015,inproceedings,empty
"Raschid, Louiqa",Editor-in-Chief (January 2014-May 2017) Farewell Report,empty,2017,article,10.1145/3143313
"Cassel, Lillian and Hongzhi, Wang",Panel: The Computing in Data Science,"data science, computing for data science, computing curriculum",2019,inproceedings,10.1145/3300115.3312508
"Raschid, Louiqa",Editorial,empty,2014,article,10.1145/2579167
"Chen, Yumei and Dawes, Sharon S. and Chen, Shanshan",E-Government Support for Administrative Reform in China,"Chinese government and reform, E-government, Administrative reform",2017,inproceedings,10.1145/3085228.3085269
"Philipp, Robert and Mladenow, Andreas and Strauss, Christine and V\""{o}lz, Alexander",Machine Learning as a Service: Challenges in Research and Applications,"Machine Learning Platform, Machine Learning, MLaaS, Machine Learning Services, Machine Learning as a Service",2020,inproceedings,10.1145/3428757.3429152
"Tufi\c{s}, Mihnea and Boratto, Ludovico",Toward a Complete Data Valuation Process. Challenges of Personal Data,"data valuation, data markets, Datasets",2021,article,10.1145/3447269
"Abedjan, Ziawasch and Golab, Lukasz and Naumann, Felix",Profiling Relational Data: A Survey,empty,2015,article,10.1007/s00778-015-0389-y
"Laube, Patrick",The Low Hanging Fruit is Gone: Achievements and Challenges of Computational Movement Analysis,empty,2015,article,10.1145/2782759.2782762
"Madnick, Stuart E. and Lee, Yang W.",Editorial Notes Classification and Assessment of Large Amounts of Data: Examples in the Healthcare Industry and Collaborative Digital Libraries,empty,2011,article,10.1145/2063504.2063505
"Sulistyowati, Ira and Fransisca, Dyna and Ruldeviyani, Yova",Data Analytics Readiness Model in Indonesian Government,empty,2021,inbook,empty
"Abiteboul, Serge and Arenas, Marcelo and Barcel\'{o}, Pablo and Bienvenu, Meghyn and Calvanese, Diego and David, Claire and Hull, Richard and H\""{u}llermeier, Eyke and Kimelfeld, Benny and Libkin, Leonid and Martens, Wim and Milo, Tova and Murlak, Filip and Neven, Frank and Ortiz, Magdalena and Schwentick, Thomas and Stoyanovich, Julia and Su, Jianwen and Suciu, Dan and Vianu, Victor and Yi, Ke",Research Directions for Principles of Data Management (Abridged),empty,2017,article,10.1145/3092931.3092933
"Munappy, Aiswarya Raj and Mattos, David Issa and Bosch, Jan and Olsson, Helena Holmstr\""{o}m and Dakkak, Anas",From Ad-Hoc Data Analytics to DataOps,"DataOps, DevOps, Continuous Monitoring, Agile Methodology, Data Pipelines, Data technologies",2020,inproceedings,10.1145/3379177.3388909
"Umejiaku, Afamefuna and Dang, Tommy","Visualising Developing Nations Health Records: Opportunities, Challenges and Research Agenda","Visualisation, Health records, Developing Nations",2021,inproceedings,10.1145/3468784.3471607
"Hattingh, Mari\'{e} and Marshall, Linda and Holmner, Marlene and Naidoo, Rennie",Data Science Competency in Organisations: A Systematic Review and Unified Model,"Data Science, Skills, Competency, Systematic Literature Review",2019,inproceedings,10.1145/3351108.3351110
"Millard, Jeremy",ICT-Enabled Public Sector Innovation: Trends and Prospects,"open assets, open services, open engagement, public value, open governance, government as a platform",2013,inproceedings,10.1145/2591888.2591901
"Torresen, Jim",Addressing Ethical Challenges within Evolutionary Computation Applications: GECCO 2020 Tutorial,empty,2020,inbook,empty
"Abadi, Daniel and Ailamaki, Anastasia and Andersen, David and Bailis, Peter and Balazinska, Magdalena and Bernstein, Philip and Boncz, Peter and Chaudhuri, Surajit and Cheung, Alvin and Doan, AnHai and Dong, Luna and Franklin, Michael J. and Freire, Juliana and Halevy, Alon and Hellerstein, Joseph M. and Idreos, Stratos and Kossmann, Donald and Kraska, Tim and Krishnamurthy, Sailesh and Markl, Volker and Melnik, Sergey and Milo, Tova and Mohan, C. and Neumann, Thomas and Chin Ooi, Beng and Ozcan, Fatma and Patel, Jignesh and Pavlo, Andrew and Popa, Raluca and Ramakrishnan, Raghu and R\'{e}, Christopher and Stonebraker, Michael and Suciu, Dan",The Seattle Report on Database Research,empty,2020,article,10.1145/3385658.3385668
"Auer, S\""{o}ren and Heath, Tom and Bizer, Christian and Berners-Lee, Tim",LDOW2016: 9th Workshop on Linked Data on the Web,"linked data, semantic web, rdf",2016,inproceedings,10.1145/2872518.2890599
"Alonso, Omar",Challenges with Label Quality for Supervised Learning,"crowdsourcing, Label quality, machine learning, human computation",2015,article,10.1145/2724721
"Ge, Juan and Han, Wenli and Zhang, Xunhu and Zhou, Jin",Research on Construction of Quality Service Platform of Survey and Mapping,"Service platform, Data management, Quality",2020,inproceedings,10.1145/3397056.3397078
"Aljawarneh, Shadi and Radhakrishna, Vangipuram and Kumar, Gunupudi Rajesh",A Recent Survey on Challenges in Security and Privacy in Internet of Things,"challenges in IoT, research issues, vulnerability, IoT classification, S/W weakness, security and privacy, IoT architecture, IoT services",2019,inproceedings,10.1145/3330431.3330457
"Wu, Xueqiong and Chen, Lei and Ji, Kun and Wang, Huidong and Qian, Hao and Ma, Lidong",Design and Application of Virtual Production Command Service in Power Distribution Network Based on Artificial Intelligence,"Power Distribution Network Regulations, Power Knowledge Graph, Dispatch Professional Decision, Power Distribution Network Virtual Production Command Engine, AI",2022,inproceedings,10.1145/3512826.3512836
"Tanaka, Yasuhiro and Kodate, Akihisa and Bolt, Timothy",Data Sharing System Based on Legal Risk Assessment,"Legal Risk Assessment, Personal Data, Privacy Protection, Data Sharing, Information system",2018,inproceedings,10.1145/3227696.3227715
"Lucic, Ana and Blake, Catherine",Preparing a Workforce to Effectively Reuse Data,"data analytics and evaluation, survey results, program development and evaluation, data science",2016,inproceedings,empty
"Churchill, Elizabeth F.",From Data Divination to Data-Aware Design,empty,2012,article,10.1145/2334184.2334188
"Nargesian, Fatemeh and Zhu, Erkang and Miller, Ren\'{e}e J. and Pu, Ken Q. and Arocena, Patricia C.",Data Lake Management: Challenges and Opportunities,empty,2019,article,10.14778/3352063.3352116
"Zhou, Ke and Song, Jingkuan",Introduction to the Special Issue on Learning-Based Support for Data Science Applications,empty,2021,article,10.1145/3450751
"Wan, Xinxin",A Study on the Current Development of Artificial Intelligence in Education Industry in China,"Adaptive Learning, Education Informatization, Oral Assessment, AI Education, Smart Classroom",2021,inproceedings,10.1145/3463531.3463536
"Bentalha, Badr and Hmioui, Aziz and Alla, Lhoussaine",The Digitalization of the Supply Chain Management of Service Companies: A Prospective Approach,"SCM, prospective approach, supply chain, digital, service company",2019,inproceedings,10.1145/3368756.3369005
"Zhou, Zirui and Chu, Lingyang and Liu, Changxin and Wang, Lanjun and Pei, Jian and Zhang, Yong",Towards Fair Federated Learning,"data privacy, federated learning, model fairness, data leakage, distributed learning, collaborative fairness",2021,inproceedings,10.1145/3447548.3470814
"Matheus, Ricardo and Janssen, Marijn",How to Become a Smart City? Balancing Ambidexterity in Smart Cities,"smart cities, exploitation, ambidexterity, transformation, exploration, e-government, innovation",2017,inproceedings,10.1145/3047273.3047386
"Kokkinakos, Panagiotis and Koutras, Costas and Markaki, Ourania and Koussouris, Sotirios and Trutnev, Dmitrii and Glikman, Yuri",Assessing Governmental Policies' Impact through Prosperity Indicators and Open Data,"Policy Making, Open Data, Policy Impact Evaluation, Fuzzy Cognitive Maps, Prosperity Indicators",2014,inproceedings,10.1145/2729104.2729134
"Lee, Jae-Gil and Roh, Yuji and Song, Hwanjun and Whang, Steven Euijong","Machine Learning Robustness, Fairness, and Their Convergence","fairness, machine learning, robustness, convergence",2021,inproceedings,10.1145/3447548.3470799
"Kim, Miryung and Zimmermann, Thomas and DeLine, Robert and Begel, Andrew",The Emerging Role of Data Scientists on Software Development Teams,empty,2016,inproceedings,10.1145/2884781.2884783
"Wang, Lei and Wang, Yang",Application of Machine Learning for Process Control in Semiconductor Manufacturing,"Virtual metrology, Data analytics, Advanced process control, Semiconductor manufacturing, Machine learning",2020,inproceedings,10.1145/3424311.3424326
"Wu, Xinghao and Qiao, Fei and Poon, Kwok",Cloud Manufacturing Application in Semiconductor Industry,empty,2014,inproceedings,empty
"Lin, Yu-Ru and Castillo, Carlos and Yin, Jie","The 5th International Workshop on Social Web for Disaster Management(SWDM'18): Collective Sensing, Trust, and Resilience in Global Crises","disaster response, social media, emergency management",2018,inproceedings,10.1145/3159652.3160594
"Suaprae, Phanintorn and Nilsook, Prachyanun and Wannapiroon, Panita",System Framework of Intelligent Consulting Systems with Intellectual Technology,empty,2021,inbook,empty
"Xie, Xiaoyuan and Poon, Pak-Lok and Pullum, Laura L.",Workshop Summary: 2019 IEEE / ACM Fourth International Workshop on Metamorphic Testing (MET 2019),"software verification and validation, software testing, metamorphic testing, software engineering",2019,article,10.1145/3356773.3356810
"Pei, Jian",Data Pricing -- From Economics to Data Science,"privacy, fairness, information goods, digital products, data products, trustfulness, data pricing, subscription, bundling, auctions, revenue maximization, arbitrage",2020,inproceedings,10.1145/3394486.3406473
"Cao, Tien-Dung and Pham, Tran-Vu and Vu, Quang-Hieu and Truong, Hong-Linh and Le, Duc-Hung and Dustdar, Schahram",MARSA: A Marketplace for Realtime Human Sensing Data,"platform, Internet of Things, data contract, cost model",2016,article,10.1145/2883611
"Lehmann, Jens and Auer, S\""{o}ren and Capadisli, Sarven and Janowicz, Krzysztof and Bizer, Christian and Heath, Tom and Hogan, Aidan and Berners-Lee, Tim",LDOW2017: 10th Workshop on Linked Data on the Web,"linked data, semantic web",2017,inproceedings,10.1145/3041021.3055510
"Bednarz, Tomasz and Hughes, Rowan T. and Mathews, Alex and Chen, Dawei and Zhu, Liming and Filonik, Daniel","Visual Analytics for Large Networks: Theory, Art and Practice",empty,2021,inproceedings,10.1145/3450508.3464558
"Maz\'{o}n, Jose-Norberto and Garrig\'{o}s, Irene and Daniel, Florian and Castellanos, Malu",Report of the International Workshop on Business Intelligence and the Web: BEWEB 2011,empty,2012,article,10.1145/2380776.2380789
"Netten, Niels and Bargh, Mortaza S. and van den Braak, Susan and Choenni, Sunil and Leeuw, Frans",On Enabling Smart Government: A Legal Logistics Framework for Future Criminal Justice Systems,"Law enforcement, efficiency, open justice, effectivity, smart governance, and penal law, legal design",2016,inproceedings,10.1145/2912160.2912180
"Zalmout, Nasser and Zhang, Chenwei and Li, Xian and Liang, Yan and Dong, Xin Luna",All You Need to Know to Build a Product Knowledge Graph,"information extraction, taxonomy, knowledge graphs, data cleaning",2021,inproceedings,10.1145/3447548.3470825
"Hoffmann, Leah",Seeing Light at the End of the Cybersecurity Tunnel,empty,2020,article,10.1145/3403976
"Stakoulas, Konstantinos and Georgiou, Konstantinos and Mittas, Nikolaos and Angelis, Lefteris",An Analysis of User Profiles from Covid-19 Questions in Stack Overflow,empty,2021,inproceedings,10.1145/3503823.3503900
"Barhak, Jacob",Modeling Clinical Data from Publications,"clinical trial, reference modeling, publications, high performance computing, disease modeling, Monte-Carlo",2015,inproceedings,empty
"Parycek, P. and Pereira, G. Viale",Drivers of Smart Governance: Towards to Evidence-Based Policy-Making,"Data Governance, Evaluation, Collaborative Governance, Decision-making",2017,inproceedings,10.1145/3085228.3085255
"Gupta, Suyash and Hellings, Jelle and Rahnama, Sajjad and Sadoghi, Mohammad",Blockchain Consensus Unraveled: Virtues and Limitations,"resilient transaction processing, consensus, geo-scale, permissioned blockchains, byzantine learning, cluster-sending, sharding",2020,inproceedings,10.1145/3401025.3404099
"Han, Yang and Li, Victor O.K. and Lam, Jacqueline C.K. and Lu, Zhiyi",UMeAir: Predicting Momentary Happiness Towards Air Quality via Machine Learning,"Subjective well-being prediction, Air quality, Machine learning, Data interpretability, Short-term happiness",2018,inproceedings,10.1145/3267305.3267694
"Khadivizand, Sam and Beheshti, Amin and Sobhanmanesh, Fariborz and Sheng, Quan Z. and Istanbouli, Elias and Wood, Steven and Pezaro, Damon",Towards Intelligent Feature Engineering for Risk-Based Customer Segmentation in Banking,"banking processes, feature engineering, business process, risk-based customer segmentation",2020,inproceedings,10.1145/3428690.3429172
"Gupta, Suyash and Hellings, Jelle and Rahnama, Sajjad and Sadoghi, Mohammad",An In-Depth Look of BFT Consensus in Blockchain: Challenges and Opportunities,empty,2019,inproceedings,10.1145/3366625.3369437
"Anjum, Shahid W.",Risk Magnification Framework for Clouds Computing Architects in Business Intelligence,"Multi Criteria Decision Making, IT Risk Management, Cloud Computing, Business Intelligence Architecture, A'WOT Analysis",2017,inproceedings,10.1145/3029387.3029421
"Wu, Ji and Zhou, Ming and Xu, Min and Zhang, Jin and Wu, Yue and Zha, Weiwei and Zhang, Chengping",Design and Research of IoT Management Architecture for Power Grid Enterprises Based on Digital Transformation: Application of IoT in Power Grid Enterprises According to Enterprise Architecture Method,"Intelligent IoT management system, IoT, Digital transformation",2021,inproceedings,10.1145/3503928.3503944
"Li, Xinming and Talburt, John R. and Li, Ting and Liu, Xiangwen",Scoring Matrix Combined with Machine Learning for Heterogeneously Structured Entity Resolution,empty,2019,article,empty
"Zhou, Xiaofang and Sadiq, Shazia",Data Centric Research at the University of Queensland,empty,2013,article,10.1145/2536669.2536682
"Yan, Feng",A Building Integrated Control Platform Oriented Towards Intelligent Building,empty,2021,inproceedings,10.1145/3469213.3470424
"Douglas, David M.",Should Researchers Use Data from Security Breaches?,empty,2019,article,10.1145/3368091
"Schuch de Azambuja, Luiza",Drivers and Barriers for the Development of Smart Sustainable Cities: A Systematic Literature Review,"smart city, sustainable city, enablers, challenges",2021,inproceedings,10.1145/3494193.3494250
empty,Introduction,empty,2019,inbook,empty
"Dang, Yingnong and Lin, Qingwei and Huang, Peng",AIOps: Real-World Challenges and Research Innovations,"software analytics, AIOps, DevOps",2019,inproceedings,10.1109/ICSE-Companion.2019.00023
"Talburt, John R.",SPECIAL ISSUE ON ENTITY RESOLUTION Overview: The Criticality of Entity Resolution in Data and Information Quality,empty,2013,article,10.1145/2435221.2435222
"Hastings, Justine S. and Howison, Mark and Lawless, Ted and Ucles, John and White, Preston",Unlocking Data to Improve Public Policy,empty,2019,article,10.1145/3335150
"Yatim, Ir. Fazilah Mat and Majid, Zulkepli and Amerudin, Shahabuddin",Locating Success Within A Geographic Information System,"GIS-Geographic Information System, TNB-Tenaga Nasional Berhad, KSF-Key Success Factors",2017,inproceedings,10.1145/3132300.3132305
"Frey, Remo Manuel and Hardjono, Thomas and Smith, Christian and Erhardt, Keeley and Pentland, Alex 'Sandy'",Secure Sharing of Geospatial Wildlife Data,"species protection, security, blockchain, wildlife, GPS, crime, geospatial, animal, hunting, cyber-poaching, privacy, data sharing",2017,inproceedings,10.1145/3080546.3080550
"Winslett, Marianne and Braganholo, Vanessa",Michael Franklin Speaks Out on Data Science,empty,2019,article,10.1145/3377391.3377398
"Hoel, Tore and Griffiths, Dai and Chen, Weiqin",The Influence of Data Protection and Privacy Frameworks on the Design of Learning Analytics Systems,"data protection by design, learning analytics, data protection, learning analytics process requirements, learning analytics systems design, data protection by default, personal information, privacy by design, privacy frameworks",2017,inproceedings,10.1145/3027385.3027414
"Calyam, Prasad and Swany, Martin",Research Challenges in Future Multi-Domain Network Performance Measurement and Monitoring,"future multi-domain network monitoring, next-generation measurement infrastructures, research challenges",2015,article,10.1145/2805789.2805795
"Gupta, Suyash and Hellings, Jelle and Rahnama, Sajjad and Sadoghi, Mohammad",Building High Throughput Permissioned Blockchain Fabrics: Challenges and Opportunities,empty,2020,article,10.14778/3415478.3415565
"Pan, Zhiwen and Zhao, Shuangye and Pacheco, Jesus and Zhang, Yuxin and Song, Xiaofan and Chen, Yiqiang and Dai, Lianjun and Zhang, Jun",Comprehensive Data Management and Analytics for General Society Survey Dataset,"Society survey, Data management, Data mining, Decision support systems, Knowledge discovery",2019,inproceedings,10.1145/3371238.3371269
"van Donge, W. and Bharosa, N. and Janssen, M. F. W. H. A.",Future Government Data Strategies: Data-Driven Enterprise or Data Steward? Exploring Definitions and Challenges for the Government as Data Enterprise,"e-government, Data-driven government, data governance, data enterprise, data stewardship",2020,inproceedings,10.1145/3396956.3396975
"Wang, Chen and Huang, Xiangdong and Qiao, Jialin and Jiang, Tian and Rui, Lei and Zhang, Jinrui and Kang, Rong and Feinauer, Julian and McGrail, Kevin A. and Wang, Peng and Luo, Diaohan and Yuan, Jun and Wang, Jianmin and Sun, Jiaguang",Apache IoTDB: Time-Series Database for Internet of Things,empty,2020,article,10.14778/3415478.3415504
"Dong, Xin Luna and Rekatsinas, Theodoros",Data Integration and Machine Learning: A Natural Synergy,"schema mapping, data integration, entity linkage, data cleaning, data fusion",2019,inproceedings,10.1145/3292500.3332296
"Empl, Philip and Pernul, G\""{u}nther",A Flexible Security Analytics Service for the Industrial IoT,"industrial IoT, security as a service, security analytics",2021,inproceedings,10.1145/3445969.3450427
"Drachsler, Hendrik and Greller, Wolfgang",Privacy and Analytics: It's a DELICATE Issue a Checklist for Trusted Learning Analytics,"learning analytics, privacy, legal aspects, data management, ethics, educational data mining, implementation, trust",2016,inproceedings,10.1145/2883851.2883893
"Wong, Ka-Chun and Zhang, Jiao and Yan, Shankai and Li, Xiangtao and Lin, Qiuzhen and Kwong, Sam and Liang, Cheng",DNA Sequencing Technologies: Sequencing Data Protocols and Bioinformatics Tools,"third-generation sequencing (TGS), history, tools, software, DNA sequencing, bioinformatics, computational biology, data protocols, technology",2019,article,10.1145/3340286
"Kritzinger, A.K. and Calitz, A.P. and Westraadt, L.",Data Wrangling for South African Smart City Crime Data,"Open Data, Data Cleaning, Data Wrangling, Smart City Data",2020,inproceedings,10.1145/3410886.3410913
"Hanbal, Rajesh Dinesh and Prakash, Amit and Srinivasan, Janaki",Who Drives Data in Data-Driven Governance? The Politics of Data Production in India's Livelihood Program,"data justice, Data production, Open government data",2020,inproceedings,10.1145/3428502.3428576
"Devarakonda, Ranjeet and Guntupally, Kavya and Thornton, Michele and Wei, Yaxing and Singh, Debjani and Lunga, Dalton",FAIR Interfaces for Geospatial Scientific Data Searches,"ARM Data Center, Geospatial search interfaces, FAIR data principle for scientific data, ORNL DAAC",2021,inproceedings,10.1145/3486640.3491391
"Wong, Ka-Chun and Zhang, Jiao and Yan, Shankai and Li, Xiangtao and Lin, Qiuzhen and Kwong, Sam and Liang, Cheng",DNA Sequencing Technologies: Sequencing Data Protocols and Bioinformatics Tools,"third-generation sequencing (TGS), tools, technology, software, history, bioinformatics, data protocols, DNA sequencing, computational biology",2019,article,10.1145/3340286
"Dahbi, Kawtar Younsi and Lamharhar, Hind and Chiadmi, Dalila",Exploring Dimensions Influencing the Usage of Open Government Data Portals,"Open Government Data portals, usage, Evaluation, Open Government Data",2018,inproceedings,10.1145/3289402.3289526
"Hanbal, Rajesh Dinesh and Prakash, Amit and Srinivasan, Janaki",Who Drives Data in Data-Driven Governance? The Politics of Data Production in India's Livelihood Program,"data justice, Open government data, Data production",2020,inproceedings,10.1145/3428502.3428576
"Yu, Qianqian and Zhang, Jianyong and Qian, Li and Dong, Zhipeng and Huang, Yongwen and Jianhua, Liu",Practice of Constructing Name Authority Database Based on Multi-Source Data Integration,"name disambiguation, NSTL, name authority, multi-source",2019,inproceedings,10.1109/JCDL.2019.00088
"Ramanujapuram, Arun and Malemarpuram, Charan Kumar",Enabling Sustainable Behaviors of Data Recording and Use in Low-Resource Supply Chains,empty,2020,inbook,empty
"Baeza-Yates, Ricardo and Masan\`{e}s, Julien and Spaniol, Marc",The 1st Temporal Web Analytics Workshop (TWAW),"temporal web analytics, distributed data analytics, web scale data analytics",2011,inproceedings,10.1145/1963192.1963325
"Grillenberger, Andreas and Romeike, Ralf",Developing a Theoretically Founded Data Literacy Competency Model,"data, data management, competency model, data literacy, CS education, data science",2018,inproceedings,10.1145/3265757.3265766
"Bogers, Toine and G\""{a}de, Maria and Freund, Luanne and Hall, Mark and Koolen, Marijn and Petras, Vivien and Skov, Mette",Workshop on Barriers to Interactive IR Resources Re-Use,"repository, intertactive information retrieval, evaluation",2018,inproceedings,10.1145/3176349.3176901
"Sambasivan, Nithya",Seeing like a Dataset from the Global South,empty,2021,article,10.1145/3466160
"Badia, Antonio and Lemire, Daniel",A Call to Arms: Revisiting Database Design,empty,2011,article,10.1145/2070736.2070750
"Sambasivan, Nithya","All Equation, No Human: The Myopia of AI Models",empty,2022,article,10.1145/3516515
"Li, Ying and Zhang, AiMin and Zhang, Xinman and Wu, Zhihui",A Data Lake Architecture for Monitoring and Diagnosis System of Power Grid,"Data Pond, Monitoring And Diagnostic, Data Lake, Power Grid",2018,inproceedings,10.1145/3299819.3299850
"Weller, Katrin and Kinder-Kurlanda, Katharina E.",A Manifesto for Data Sharing in Social Media Research,"data protection, privacy, social media, archiving, data archives, methodology, data sharing, legal issues, reproducibility",2016,inproceedings,10.1145/2908131.2908172
"Fathy, Yasmin and Barnaghi, Payam and Tafazolli, Rahim","Large-Scale Indexing, Discovery, and Ranking for the Internet of Things (IoT)","large-scale data, wireless sensor network (WSN), discovery, indexing, Internet of things (IoT), ranking",2018,article,10.1145/3154525
"Satti, Fahad Ahmed and Khan, Wajahat Ali and Lee, Ganghun and Khattak, Asad Masood and Lee, Sungyoung",Resolving Data Interoperability in Ubiquitous Health Profile Using Semi-Structured Storage and Processing,"ACM proceedings, text tagging",2019,inproceedings,10.1145/3297280.3297354
"Lamghari, Zineb and Radgui, Maryam and Saidi, Rajaa and Rahmani, Moulay Driss",Passage Challenges from Data-Intensive System to Knowledge-Intensive System Related to Process Mining Field,"Data-intensive, Process Mining, Knowledge-intensive, Process mining challenges, Business Process Management, Adaptive Case Management",2019,inproceedings,10.1145/3333165.3333168
"Budde, Matthias and Riedel, Till",Challenges in Capturing and Analyzing High Resolution Urban Air Quality Data,"challenges, Air quality, urban air, PM2.5, particulate matter, PM10, sensing",2018,inproceedings,10.1145/3267305.3274762
"Muller, Michael and Guha, Shion and Baumer, Eric P.S. and Mimno, David and Shami, N. Sadat","Machine Learning and Grounded Theory Method: Convergence, Divergence, and Combination","supervised learning, machine learning, unsupervised learning, grounded theory, axial coding, coding families",2016,inproceedings,10.1145/2957276.2957280
"Liu, Ying and Yu, Wei and Xiao, Suhong",Digital Protection of Nanfeng Nuo Mask Based on AR Technology,empty,2021,inproceedings,10.1145/3495018.3495486
"Liu, Jinwei and Shen, Haiying and Narman, Husnu S. and Chung, Wingyan and Lin, Zongfang",A Survey of Mobile Crowdsensing Techniques: A Critical Component for The Internet of Things,"Internet of Things, Mobile crowdsensing, cost-effectiveness, quality of service, redundancy elimination",2018,article,10.1145/3185504
"Saddiqa, Mubashrah and Rasmussen, Lise and Magnussen, Rikke and Larsen, Birger and Pedersen, Jens Myrup",Bringing Open Data into Danish Schools and Its Potential Impact on School Pupils,"educational themes, impact, educational resource, school pupils, open data",2019,inproceedings,10.1145/3306446.3340821
"Nakuc\c{c}i, Emona and Theodorou, Vasileios and Jovanovic, Petar and Abell\'{o}, Alberto",Bijoux: Data Generator for Evaluating ETL Process Quality,"process quality, ETL, data generator",2014,inproceedings,10.1145/2666158.2666183
"Okcan, Alper and Riedewald, Mirek and Panda, Biswanath and Fink, Daniel",Scolopax: Exploratory Analysis of Scientific Data,empty,2013,article,10.14778/2536274.2536300
"Andersen, Kim Normann and Lee, Jungwoo and Henriksen, Helle Zinner",Digital Sclerosis? Wind of Change for Government and the Employees,"changing nature of work, workplace, future work, digital sclerosis, public sector, work, digitalization, e-Government",2020,article,10.1145/3360000
"Wang, Deli",Research on Bank Marketing Behavior Based on Machine Learning,"Customer segmentation, Bank Direct Sales Project, Classification algorithm, C5.0 algorithm",2020,inproceedings,10.1145/3421766.3421800
"Suhail, Sabah and Hussain, Rasheed and Jurdak, Raja and Oracevic, Alma and Salah, Khaled and Hong, Choong Seon and Matulevi\v{c}ius, Raimundas","Blockchain-Based Digital Twins: Research Trends, Issues, and Future Challenges","Internet of Things (IoT), Industrial Control Systems (ICSs), Blockchain, Industry 4.0, Artificial Intelligence (AI), Cyber-Physical Systems (CPSs), Digital Twins (DTs)",2022,article,10.1145/3517189
"Tentori, Monica and Ziviani, Artur and Muchaluat-Saade, D\'{e}bora C. and Favela, Jesus",Digital Healthcare in Latin America: The Case of Brazil and Mexico,empty,2020,article,10.1145/3423923
